"year","title","imdb_id","gross_inflation","rank_unadjusted_inflation"
1987,"3 Men and a Baby (1987)","tt0094137",373811000,232
2014,"American Sniper (2014)","tt2179136",372705000,30
1981,"On Golden Pond (1981)","tt0082846",372410000,454
1974,"Earthquake (1974)","tt0071455",370797000,828
2007,"Harry Potter and the Order of the Phoenix (2007)","tt0373889",369244000,61
1955,"Mister Roberts (1955)","tt0048380",368880000,2794
2010,"Alice in Wonderland (2010)","tt1014759",368289000,36
1995,"Batman Forever (1995)","tt0112462",368000000,184
1985,"Rambo: First Blood Part II (1985)","tt0089880",367606000,281
1977,"Saturday Night Fever (1977)","tt0076666",367507000,651
1979,"Kramer vs. Kramer (1979)","tt0079417",367410000,547
2015,"Inside Out (2015)","tt2096673",367402000,28
1988,"Rain Man (1988)","tt0095953",366204000,219
1990,"Pretty Woman (1990)","tt0100405",366099000,203
2004,"The Incredibles (2004)","tt0317705",365652000,78
1992,"Home Alone 2: Lost in New York (1992)","tt0104431",364771000,216
2015,"Furious 7 (2015)","tt2820852",361210000,31
2002,"My Big Fat Greek Wedding (2002)","tt0259446",360878000,99
2014,"The Hunger Games: Mockingjay - Part 1 (2014)","tt1951265",358862000,33
1996,"Mission: Impossible (1996)","tt0117060",356267000,195
2014,"Guardians of the Galaxy (2014)","tt2015381",354602000,37
1999,"Austin Powers: The Spy Who Shagged Me (1999)","tt0145660",351083000,149
2003,"Bruce Almighty (2003)","tt0315327",350597000,97
2009,"Harry Potter and the Half-Blood Prince (2009)","tt0417741",350320000,53
1987,"Fatal Attraction (1987)","tt0093010",349335000,263
1980,"Superman II (1980)","tt0081573",349294000,529
2004,"Harry Potter and the Prisoner of Azkaban (2004)","tt0304141",348841000,93
2001,"Rush Hour 2 (2001)","tt0266915",347385000,118
2000,"Mission: Impossible II (2000)","tt0120755",347032000,134
2015,"Minions (2015)","tt2293640",346762000,35
1953,"House of Wax (1953)","tt0045888",345100000,2625
2009,"The Twilight Saga: New Moon (2009)","tt1259571",344520000,55
2010,"Iron Man 2 (2010)","tt1228705",344030000,45
1997,"Liar Liar (1997)","tt0119528",343072000,192
1991,"Robin Hood: Prince of Thieves (1991)","tt0102798",343040000,238
1987,"Beverly Hills Cop II (1987)","tt0092644",342660000,273
1992,"Batman Returns (1992)","tt0103776",341711000,246
